sample_id,premise,hypothesis,topic,grade_level,subject,source_id,difficulty,negation_flag,label_a,confidence_a,rationale_a,quality_flags_a,annotator_note_a,lead_time_sec_a,completed_by_a,label_b,confidence_b,rationale_b,quality_flags_b,annotator_note_b,lead_time_sec_b,completed_by_b,label_agree
VNLI_DEMO_0003,Văn bản cho biết tác giả sử dụng ngôi kể thứ nhất.,Người kể chuyện xưng tôi.,doc_hieu,11,Ngu_van,SRC0001,easy,no,ENT,high,"Trong lý thuyết ngữ văn, ""ngôi kể thứ nhất"" đồng nghĩa với việc người kể chuyện trực tiếp xuất hiện trong tác phẩm và thường xưng đại từ nhân xưng ngôi thứ nhất, tiêu biểu và phổ biến nhất là ""tôi"". Do đó, giả thuyết hoàn toàn có thể được suy ra từ tiền đề.",,,96.994,1,ENT,high,"Trong lý thuyết văn học, ngôi kể thứ nhất được định nghĩa là hình thức người kể chuyện trực tiếp xuất hiện và tham gia vào câu chuyện bằng cách tự xưng là ""tôi"" (hoặc các đại từ tương đương ngôi thứ nhất số ít/số nhiều).",,,41.808,1,True
VNLI_DEMO_0004,Tài liệu ôn tập nhấn mạnh rằng học sinh không nên học tủ trước kì kiểm tra.,Học tủ là cách học không được khuyến khích.,ky_nang_viet,12,Ngu_van,SRC0001,easy,yes,ENT,high,"Cụm từ ""không nên"" trong tài liệu ôn tập mang tính chất định hướng và khuyên bảo, điều này trực tiếp xác nhận rằng đây là một phương pháp học ""không được khuyến khích"". Do đó, giả thuyết hoàn toàn được suy ra từ tiền đề.",,,27.529,1,ENT,high,"Tiền đề nêu rõ việc tài liệu nhấn mạnh học sinh ""không nên học tủ"", điều này trực tiếp đồng nghĩa và suy ra được giả thuyết rằng học tủ là cách học ""không được khuyến khích"".",,,54.76,1,True
VNLI_DEMO_0007,Trong đoạn thơ người viết lặp lại nhiều lần cụm từ quê hương.,Đoạn thơ có sử dụng phép lặp.,doc_hieu,10,Ngu_van,SRC0001,medium,no,ENT,high,"Việc ""lặp lại nhiều lần"" một cụm từ cụ thể (quê hương) chính là hành động cấu thành nên biện pháp tu từ mang tên ""phép lặp"". Do đó, giả thuyết là một kết luận tất yếu từ tiền đề.",,,31.764,1,ENT,high,"Việc người viết ""lặp lại nhiều lần cụm từ"" trong đoạn thơ chính là biểu hiện trực tiếp của việc sử dụng ""phép lặp"". Do đó, từ tiền đề ta hoàn toàn suy ra được giả thuyết.",,,27.997,1,True
VNLI_DEMO_0008,Phần kết bài được hướng dẫn dùng để khái quát lại vấn đề đã bàn luận.,Kết bài có chức năng tổng kết vấn đề.,nghi_luan,11,Ngu_van,SRC0001,easy,no,ENT,high,"Trong lý thuyết làm văn, ""khái quát lại"" và ""tổng kết"" là hai khái niệm đồng nghĩa khi nói về chức năng của phần kết bài. Do đó, giả thuyết là một sự khẳng định lại nội dung đã có trong tiền đề.",,,17.14,1,ENT,high,"Cụm từ ""khái quát lại vấn đề"" trong tiền đề hoàn toàn đồng nghĩa với chức năng ""tổng kết vấn đề"" được nêu trong giả thuyết. Do đó, giả thuyết được suy ra trực tiếp từ tiền đề.",,,30.032,1,True
VNLI_DEMO_0010,Hướng dẫn làm bài nói rõ rằng không cần dùng dẫn chứng ngoài văn bản cho câu hỏi này.,Học sinh chỉ cần dựa vào văn bản đã cho để trả lời.,doc_hieu,12,Ngu_van,SRC0001,medium,yes,ENT,high,"Nếu hướng dẫn đã loại trừ việc dùng ""dẫn chứng ngoài văn bản"", thì về mặt logic, phạm vi dữ liệu duy nhất còn lại để học sinh thực hiện yêu cầu chính là ""văn bản đã cho"". Do đó, giả thuyết là một hệ quả trực tiếp từ tiền đề.",,,18.252,1,ENT,high,"Tiền đề xác nhận ""không cần dùng dẫn chứng ngoài văn bản"", điều này đồng nghĩa với việc yêu cầu của câu hỏi chỉ gói gọn trong văn bản được cung cấp, hoàn toàn khớp với giả thuyết ""chỉ cần dựa vào văn bản đã cho"".",,,32.18,1,True
VNLI_DEMO_0011,Văn bản cho biết nhân vật im lặng trong suốt buổi đối thoại.,Nhân vật nói rất nhiều trong buổi đối thoại.,doc_hieu,11,Ngu_van,SRC0001,easy,no,CON,high,"Trạng thái ""im lặng trong suốt buổi"" và ""nói rất nhiều"" là hai hành vi hoàn toàn trái ngược và loại trừ lẫn nhau trong cùng một ngữ cảnh. Vì vậy, giả thuyết mâu thuẫn trực tiếp với thông tin từ tiền đề.",,,20.215,1,CON,high,"Tiền đề khẳng định nhân vật ""im lặng trong suốt buổi đối thoại"", điều này hoàn toàn trái ngược và mâu thuẫn trực tiếp với giả thuyết cho rằng nhân vật ""nói rất nhiều"".",,,24.397,1,True
VNLI_DEMO_0013,Giáo viên dặn học sinh không chép lại nguyên câu hỏi vào bài kiểm tra.,Học sinh phải chép nguyên câu hỏi vào bài làm.,ky_nang_viet,12,Ngu_van,SRC0001,easy,yes,CON,high,"Tiền đề đưa ra một yêu cầu phủ định (""không chép lại""), trong khi giả thuyết lại khẳng định một nghĩa vụ bắt buộc (""phải chép""). Hai thông tin này mâu thuẫn trực tiếp và loại trừ lẫn nhau.",,,23.363,1,CON,high,"Tiền đề nêu rõ việc giáo viên dặn ""không chép lại nguyên câu hỏi"", điều này mâu thuẫn hoàn toàn với giả thuyết cho rằng học sinh ""phải chép nguyên câu hỏi"". Hai hành động này loại trừ lẫn nhau.",,,27.05,1,True
VNLI_DEMO_0017,Tác giả sử dụng giọng điệu trang trọng trong toàn bộ bài viết.,Bài viết mang giọng điệu hài hước và bông đùa.,doc_hieu,12,Ngu_van,SRC0001,medium,no,CON,high,"Sắc thái ""trang trọng"" và ""hài hước, bông đùa"" là hai phong cách ngôn ngữ đối lập nhau. Vì tiền đề khẳng định giọng điệu trang trọng được duy trì trong ""toàn bộ bài viết"", nên giả thuyết về một giọng điệu hài hước là hoàn toàn mâu thuẫn.",,,17.32,1,CON,high,"Tiền đề khẳng định bài viết sử dụng giọng điệu ""trang trọng trong toàn bộ bài"", điều này hoàn toàn đối lập và mâu thuẫn với giả thuyết cho rằng bài viết có giọng điệu ""hài hước và bông đùa"".",,,52.045,1,True
VNLI_DEMO_0019,Trong ngữ cảnh này từ xuân được dùng để chỉ tuổi trẻ của con người.,Từ xuân trong câu được dùng để chỉ mùa trong năm.,tieng_viet,12,Ngu_van,SRC0001,medium,no,CON,high,"Tiền đề đã xác định rõ từ ""xuân"" mang nghĩa chuyển chỉ ""tuổi trẻ"", điều này loại trừ hoàn toàn khả năng nó được dùng với nghĩa gốc chỉ ""mùa trong năm"" trong cùng một ngữ cảnh. Hai cách hiểu này mâu thuẫn trực tiếp với nhau.",,,20.024,1,CON,high,"Tiền đề khẳng định từ ""xuân"" trong ngữ cảnh này mang nghĩa chuyển chỉ ""tuổi trẻ"", điều này mâu thuẫn trực tiếp với giả thuyết cho rằng từ ""xuân"" được dùng với nghĩa gốc để chỉ ""mùa trong năm"". Hai nét nghĩa này loại trừ nhau trong cùng một ngữ cảnh được nhắc đến.",,,34.442,1,True
VNLI_DEMO_0020,Văn bản nhấn mạnh giá trị của sự trung thực trong học tập.,Văn bản cổ vũ hành vi gian lận trong thi cử.,nghi_luan,11,Ngu_van,SRC0001,easy,no,CON,high,"""Trung thực"" và ""gian lận"" là hai giá trị đạo đức đối lập và loại trừ lẫn nhau trong giáo dục. Việc tiền đề khẳng định văn bản ""nhấn mạnh giá trị của sự trung thực"" mâu thuẫn trực tiếp với việc giả thuyết cho rằng văn bản ""cổ vũ hành vi gian lận"".",,,19.427,1,CON,high,"Tiền đề khẳng định văn bản đề cao ""sự trung thực trong học tập"", điều này hoàn toàn đối lập và mâu thuẫn trực tiếp với giả thuyết cho rằng văn bản cổ vũ ""hành vi gian lận"". Hai tư tưởng này loại trừ lẫn nhau.",,,20.83,1,True
VNLI_DEMO_0021,Đoạn trích nói về tình bạn trong những năm học phổ thông.,Tác giả của đoạn trích sinh ra ở Huế.,doc_hieu,10,Ngu_van,SRC0001,medium,no,NEU,high,"Tiền đề chỉ cung cấp thông tin về chủ đề nội dung của đoạn trích (tình bạn), trong khi giả thuyết lại đề cập đến tiểu sử cá nhân của tác giả (nơi sinh). Nội dung văn bản và nơi sinh của người viết không có mối liên hệ logic trực tiếp nào để xác nhận hay bác bỏ nhau.",,,17.673,1,NEU,high,"Tiền đề chỉ cung cấp thông tin về nội dung của đoạn trích (tình bạn thời phổ thông), trong khi giả thuyết lại nói về nơi sinh của tác giả (Huế). Không có thông tin nào trong tiền đề để xác nhận hay bác bỏ giả thuyết này. Hai thông tin này hoàn toàn không liên quan đến nhau.",,,24.404,1,True
VNLI_DEMO_0024,Giáo viên yêu cầu học sinh làm việc nhóm để thảo luận chi tiết nghệ thuật.,Mỗi nhóm gồm đúng bốn học sinh.,ky_nang_viet,10,Ngu_van,SRC0001,medium,no,NEU,high,"Tiền đề chỉ xác định phương thức học tập (làm việc nhóm) mà không cung cấp bất kỳ dữ liệu nào về quy mô hay số lượng thành viên cụ thể. Do đó, con số ""đúng bốn học sinh"" trong giả thuyết là một thông tin nằm ngoài phạm vi xác thực của tiền đề.",,,16.588,1,NEU,high,"Tiền đề chỉ cho biết giáo viên yêu cầu học sinh ""làm việc nhóm"" nhưng không cung cấp bất kỳ thông tin nào về số lượng thành viên. Do đó, không có đủ cơ sở để xác nhận hay bác bỏ giả thuyết cho rằng mỗi nhóm có ""đúng bốn học sinh"".",,,23.82,1,True
VNLI_DEMO_0026,Ngữ liệu có sử dụng một câu hỏi tu từ ở cuối đoạn văn.,Người viết đã từng đoạt giải văn cấp quốc gia.,tieng_viet,12,Ngu_van,SRC0001,medium,no,NEU,high,"Việc sử dụng một biện pháp nghệ thuật (câu hỏi tu từ) là một kỹ năng viết văn thông thường, không đủ để khẳng định hay phủ định về thành tích cá nhân (đoạt giải quốc gia) của người viết. Hai thông tin này thuộc hai phạm trù hoàn toàn khác nhau và không có mối liên hệ logic.",,,18.826,1,NEU,high,"Tiền đề chỉ đề cập đến đặc điểm hình thức nghệ thuật của đoạn văn (sử dụng câu hỏi tu từ), trong khi giả thuyết lại nói về thành tích cá nhân của người viết (đoạt giải văn cấp quốc gia). Không có bất kỳ thông tin nào trong tiền đề liên quan đến giả thuyết để có thể xác nhận hay bác bỏ nó.",ambiguous_hypothesis,,42.115,1,True
VNLI_DEMO_0028,Đề bài yêu cầu liên hệ bản thân sau khi phân tích văn bản.,Học sinh sẽ nộp bài bằng hình thức trực tuyến.,nghi_luan,12,Ngu_van,SRC0001,medium,no,NEU,high,"Tiền đề chỉ xác định yêu cầu về nội dung bài làm (liên hệ bản thân), trong khi giả thuyết lại đề cập đến hình thức nộp bài (trực tuyến). Phương thức nộp bài không phụ thuộc vào nội dung câu hỏi, do đó không có cơ sở để xác nhận hay bác bỏ giả thuyết.",,,26.741,1,NEU,high,"Tiền đề đề cập đến nội dung yêu cầu của đề bài (liên hệ bản thân), trong khi giả thuyết lại nói về hình thức nộp bài của học sinh (trực tuyến). Hai thông tin này hoàn toàn độc lập với nhau, do đó từ tiền đề không thể xác nhận cũng không thể bác bỏ giả thuyết.",,,28.823,1,True
VNLI_DEMO_0030,Giáo viên yêu cầu học sinh đọc kĩ phần chú thích trước khi trả lời câu hỏi.,Bài kiểm tra sẽ kéo dài 45 phút.,ky_nang_viet,11,Ngu_van,SRC0001,medium,no,NEU,high,"Tiền đề chỉ nêu một yêu cầu về phương pháp làm bài (đọc kỹ phần chú thích), trong khi giả thuyết lại đề cập đến thời lượng thực hiện bài kiểm tra (45 phút). Hai thông tin này thuộc hai khía cạnh khác nhau của bài kiểm tra và không có mối liên hệ logic để xác nhận hay bác bỏ lẫn nhau.",,,18.978,1,NEU,high,"Tiền đề chỉ nêu yêu cầu của giáo viên về kỹ năng làm bài (đọc kĩ phần chú thích), trong khi giả thuyết lại đề cập đến thời gian làm bài kiểm tra (45 phút). Không có thông tin nào trong tiền đề để xác nhận hay bác bỏ khoảng thời gian này.",,,24.485,1,True
